"","highest_level_of_education","job_satisfaction","self_ascribed_social_class","financial_satisfaction","compare_financial_status_against_other_us_families"
"1","Less Than High School","Moderately Satisfied","Working Class","More or Less Satisfied","Above Average"
"2","High School","Moderately Satisfied","Upper Class","Not Satisfied at All","Below Average"
"3","Graduate Degree","Moderately Satisfied","Upper Class","Not Satisfied at All","Below Average"
"4","Less Than High School","Very Dissatisfied","Lower Class","Pretty Well Satisfied","Above Average"
"5","Graduate Degree","Very Satisfied","Upper Class","Pretty Well Satisfied","Far Above Average"
"6","Graduate Degree","Moderately Satisfied","Working Class","Pretty Well Satisfied","Above Average"
"7","High School","Very Dissatisfied","Middle Class","More or Less Satisfied","Above Average"
"8","Bachelors Degree","A Little Dissatisfied","Upper Class","Not Satisfied at All","Below Average"
"9","Associate / Junior College","A Little Dissatisfied","Lower Class","Not Satisfied at All","Average"
"10","Associate / Junior College","Very Satisfied","Upper Class","Not Satisfied at All","Far Above Average"
"11","Less Than High School","Moderately Satisfied","Middle Class","More or Less Satisfied","Far Below Average"
"12","Associate / Junior College","Very Satisfied","Working Class","More or Less Satisfied","Above Average"
"13","Associate / Junior College","Very Dissatisfied","Upper Class","More or Less Satisfied","Below Average"
"14","Associate / Junior College","Very Satisfied","Working Class","More or Less Satisfied","Far Above Average"
"15","High School","Very Dissatisfied","Working Class","Not Satisfied at All","Above Average"
"16","Graduate Degree","Very Satisfied","Upper Class","More or Less Satisfied","Far Above Average"
"17","High School","Moderately Satisfied","Lower Class","Not Satisfied at All","Far Above Average"
"18","Bachelors Degree","A Little Dissatisfied","Middle Class","Not Satisfied at All","Far Above Average"
"19","Graduate Degree","Moderately Satisfied","Upper Class","More or Less Satisfied","Far Below Average"
"20","Bachelors Degree","A Little Dissatisfied","Middle Class","More or Less Satisfied","Average"
"21","High School","Moderately Satisfied","Middle Class","More or Less Satisfied","Average"
"22","Graduate Degree","A Little Dissatisfied","Middle Class","More or Less Satisfied","Average"
"23","High School","Very Dissatisfied","Working Class","Not Satisfied at All","Average"
"24","Less Than High School","A Little Dissatisfied","Upper Class","Pretty Well Satisfied","Average"
